Review,Date
"I was recently assigned to work in South Gate after a 3 year hiatus. Whether or not this is going to be a permanent gig doesn't matter since I have Coffee and Chisme to keep me company.

This particular part of State Street doesn't have a Starbucks or Tierra Mia nearby. I was craving my go-to Horchata Frappe that I get at Tierra Mia, but my car was plugged in and charging and I didn't want to go through the hassle of using some electrons in the middle of my charge.

Street parking is tight, but if you work nearby, like me, it's a just a quick walk. The place is small, to be sure, but it's chill with a good vibe. There's one main counter that has a Thrifty Ice cream display that greets you when you walk in. There's some lounge seating elevated right up in front, along with a couple of tables and some bar stools if you want to eat, drink, work of gossip (chisme).

The lady running the place is really sweet and prefers to speak Spanish, but she can easily accommodate English speakers. The menu is extensive with cold and hot drinks, various sandwiches and panini's, and desserts.

The Horchata Frappe was delicious. On par, if not better than Tierra Mia. The straw, though, is way too small and often gets clogged. I had to wait for my drink to thaw a little before I could really enjoy it. If they used bigger straws, like at Starbucks, I'm sure I would have had the full frappe experience.

The sausage, bacon and egg muffin was a surprise! It was just delicious. I got mine with Swiss cheese and regular mayo. The muffin really is an English muffin, not a sweet muffin. Unlike Starbucks, it wasn't a frozen sandwich heated in an air fryer. The muffin here was toasted with butter (you could taste the butteriness in the bread) with a wonderful crunch. The sausage and bacon was not remarkable, but the scrambled eggs were really fluffy and the combination of melted Swiss and mayo added a velvety smoothness I've never had in a sandwich.

I love supporting small businesses and the small upcharge compared to going to a larger chain is outweighed by the deliciousness of the drinks and food. I can't wait to try their other offerings, especially the Thrifty Ice Cream, on my next break.

For an out of the way, hole in the wall coffee shop in a part of South Gate that needs a change of coffee pace, Coffee and Chisme is a refreshing and delicious alternative to the big chains.

And that is no chisme...","Mar 18, 2024"
"Located in a questionable area but have it the benefit of the doubt bc of the higher ratings but was let down - hard. Super friendly workers - very nice and sweet but that's where it ends. The decor is trying and has a nook facing the window, greenery and some neon lights. Bathroom doesn't have a working sink - had it wrapped in a trash bag. No makeshift sink anywhere to wash hands so that's a red flag.

Now for the drinks - absolutely gross and no coffee detected. I could tell by the colors I was going to be disappointed and sure enough straight to the trash. I got a coco puff iced coffee and it was like sweet water. The horchata frappe was ice and milk. No espresso used at all.

$14 for 2 trash drinks is the low of the weekend.","Sep 15, 2024"
The matcha blended drink I got was awesome! Good taste. Great customer service. Just wish they had stevia.,"Apr 22, 2025"
"Banana muffin was super good!!
Our other pastry items were super hard to bite on :(. Out lattes tasted like cold brew no syrup/flavoring other than the cereal topping. Horchata frappe was too sweet to drink. So sad because we came from a few hours away","Aug 23, 2024"
Great! Drinks were good. I got the abuelita frappe and my bf got the cafe de olla coffee and both were good. I got a ham sandwich that tasted great and we shared a scone. Best part was the chisme such good chisme out there!,"May 4, 2025"
"I really wanted to love Coffee and Chisme, but honestly, it should be called Milk and Chisme. I was excited to try a new local spot, but unfortunately, our coffees tasted like straight-up milk with a splash of creamer--zero coffee flavor.

To top it off, the ordering process was frustrating. The lady taking our order asked us about five times what we wanted, yet still managed to get it wrong. Not exactly the smooth experience I was hoping for.

Hate to say it, but I won't be coming back. Plenty of other great coffee spots around that actually taste like coffee.","Mar 14, 2025"
We waited over an hour for 2 chicken paninis and 4 drinks on a Sunday afternoon. They got our order wrong about 2 times until they finally got it right. It was hectic that day. The chicken paninis were good and the drinks ok.,"Apr 12, 2025"
"Have stopped by a few times and love every drink I've tried, from the cafe de olla to their lattes. I have yet to try baked goods and food. Will definitely be coming back to try other drinks. Their staff is very friendly and knowledgeable. This place is a little hidden gem, very cute decor.","Jan 7, 2025"
"Nice little cozy place. They have really cute decor that goes with their business name. If you need a place to work or study or even just catching up with friends then this is a great spot. They also had a few books on display.

I ordered an abuelita frappe and it was delicious. It tasted just like the abuelita hot chocolate. Their selection of drinks is wide so you are bound to find something you like. Their hot drinks selection is also big.
Staff was super friendly and nice and I love that this is a family opened business so we did see the mom working with her kids and it was so cute to see that.","Jun 3, 2024"
Went in today menu isn't updated they charge you the updated price without telling you prices change. Got the cinnamon latee with oat milk lady who made is put 2% milk when I told her she said she didn't when I seen her with my own eyes making the drink also got the ice coffee float which has no flavor it taste water down no added flavor just the scoop of ice cream. very disappointing!!!,"Apr 18, 2025"
"Their drinks don't taste like coffee., go there if you want to drink sugar! I tried the abuelita ice latte it was disgusting. 1 sip and straight to the trash","Mar 8, 2025"
"Found this place through a quick search while in the area early for an event. The name is as cute as the space's aesthetic -- a mix of garden and modern minimalist design. It's quite small with limited seating so might not be the best for those looking for a work space or outdoor seating (there weren't any the day I came and not sure it has the capacity for it). The staff is friendly and welcoming, and the service is great. They seem to be quite busy with pick up orders because it was nonstop and our two drinks took a bit of time. My friend ordered the coco puff mocha and I ordered a caramel latte. I didn't try to cocoa puff drink (though it looked amazing and my friend said she liked it) but my caramel latte was not that great. I actually couldn't finish it or go beyond a few sips and it was the syrup used. The caramel tasted pretty artificial so not for me. I would love to try the place again and go for another drink, maybe like a flat white to assess espresso flavor. But all in all, it's a really nice space and worth visiting in the area.","Dec 6, 2024"
"Recently started coming here and now I'm obsessed. The cafe de olla with cold foam is my go to.The waffles are pretty good and their chicken panini is amazing!!! It's a cute place where you can kick back, grab a coffee and read some chismes The workers are pretty friendly as well.","Apr 11, 2025"
Amazing taste I love it and is my first time here great service amazing chismes to read,"Apr 24, 2025"
"I so much love this coffee place! I love the lavender coffee is my favorite and the sandwich is feels so much like home! The service is very good and friendly, bathroom is clean always. I always feel welcome and comfortable at any of their tables or chairs.","Mar 31, 2025"
Service was horrible! After waiting for 23 minutes for my order to find out they gave it to the wrong person and if I don't ask after getting off a call for an update no one cared to check in on me and ask what order I was waiting on. I ordered the café de olla iced coffee and not sure if it's because they rushed to make it but it was not good. Very disappointed,"Jun 2, 2025"
"Very small seating area but nicely decorated! Food was good and service was good! Place is small, however, prompting our early departure since the cooking area was too close for comfort.","Mar 22, 2025"
"Great coffee, service and vibes. I got the cafe de olla with cold foam and Iced abuelita latte. Both soo good, with some old school music playing in the back ground on a rainy day. This place hit the spot.","Nov 23, 2024"
"I've been going here ever since it opened. It's truly one of my favorite coffee shops. The workers are always so kind and welcoming and of course the drinks and food are yummyyyy. Everyone is so sweet , I love this coffee shop.","Apr 2, 2025"
"Like a few other low rating reviewers, I too had high hopes for this establishment. My concern is less about either or not it was trendy enough or if the concept aligned to the name of the establishment, but rather the overall absence of customer service.

My wife attempted to order a chocolate chip ice cream (which was prominently on display next to the cashier). The barista insisted that they didn't have chocolate chip, but rather mint. She claimed the flavor was pistachio. After going around in circles for a few minutes we begrudgingly paced an order for ""pistachio"". My family (next in line) ordered a different ice cream.

After waiting almost 20 minutes, we saw that someone scooped the wrong flavor(s) from mine and my families order. Root cause? Apparently we ordered pistachio... not CHOCOLATE CHIP... WHICH THEY HAD... because it was ON DISPLAY.

I get it, the cafe was hot, there was no air, it was busy, but do you have to be dismissive to guests when they place an order? Let along argue with a guest that's trying to help you out?

If anyone would like to reach out to this establishment to discuss other observations and my recommendations for improvement, please feel free to do so.","Aug 25, 2024"
Came to this place for the first time and it's a cute little shop and it was popping! I got a cafe de olla with cold foam very yummy. Took a little long but I didn't mind since I had time this morning overall good experience:),"Nov 8, 2024"
"Cute little spot in South Gate in an area with no similar businesses so that's a plus. I've you enter you get a warm greeting from the owner who treats you like family. She's incredibly sweet and checked in often enough in case there was something else you needed. I didn't wait long for my order either.

I ordered the lavender latte and the spicy chicken chipotle panini and both were delicious. The lavender latte was very earthy and the right amount of sweet. The doctor chipotle chicken sandwich was also really good. It wasn't spicy but that's okay.

The only drawback is that parking is rough but I found parking a couple blocks away and just walked over.","Mar 24, 2024"
"I had high hopes for Coffee and Chisme because the concept is cute, but honestly, it's just another TikTok trend that doesn't live up to the hype. I went on the weekend, and while it wasn't packed, which made ordering easy, they didn't even have the AC on.... It was so hot and uncomfortable in there that I instantly wanted to leave.

I ordered a white chocolate mocha iced coffee and a Mt. Everest crepe, and both were awful. The coffee was soooooo sweet and practically lukewarm the second they handed it to me--I couldn't even finish it and ended up tossing it out because it was that ...bad. The coffee was barely coffee, it was more milk and sugar than anything. The crepe was burnt and dry, like they need way more experience making them. It wasn't sweet at all, and the whipped cream was already melted by the time it got to me.

Honestly, avoid this TikTok trend of a place. It's not going to last with such poor quality. Save your money and skip it!","Aug 10, 2024"
"Coffee is Amazing as well as the customer service! I loved the banana muffin especially warmed up. I love the chisme lol and the fact you get to write and leave stuff as well, really nice place to come and gossip with friends!","Dec 11, 2024"
"It's a cute small coffee shop! I do wish there were more seats, but we got a table pretty quickly. I got a ham and cheese croissant which was decent, and their coffee was good! The chismes are pretty juicy too.","Oct 3, 2024"
"So good! The cinnamon latte is perfect! The abuelita one is on the sweet side so I would add another shot next time but was still amazing.

Inside- super cute, limited seating
Parking- free parking on the street
Both lattes- 8/10","Mar 25, 2024"
"Literally the best coffee spot in South Gate! Coffee is great, food is good, and customer service is excellent! Good vibes! Reasonable prices!","Feb 5, 2025"
"A cute lido Gem in South Gate. The place is a vibe the music was on point, and well let's just say chisminado con las comadres/bristas. 10/10 with their service.","Nov 14, 2024"
What a hidden gem! I was in the area and I'm so happy I came in. The drink is unique and you can read chisme while you sit. Really light hearted and cool concept. Service from Sam was amazing too. Will be back again!,"May 15, 2025"
"Excellent food, coffee, and service.
Definitely recommend a visit. We the Nutella crepe and it was delicious.","Aug 30, 2024"
Delicious iced cafe de olla for hot SELA summer days! Will definitely return. Loved the service.,"Aug 31, 2024"
"This place is great. It's a neighbor coffee shop, not sure what people are complaining about. Yes it's on a Main Street - and? Parking is not their problem. Delicious cafe de olla, and bagel. Chill music, outlets for working thank goodness! Sitting in the lobby reminded me of doing homework while my mom and tias cooked and shared chisme. lol 10/10 will be back.","Dec 16, 2024"
"I went in with a friend for a lil catch up and omg it was so cute and nice. Parking is kinda hard to find, we got lucky we found some on the street but other that that this is a very chill spot. I got a peaches & crème crepe & a matcha latte. As for service the girl behind the counter was extremely nice and gave my friend extra bananas for her crepe since they were almost out.

I definitely want to come back again and try the cocoa puff iced coffee.","Feb 14, 2025"
"I really loved the service, we were greeted immediately when we walked through the door. All the employees were very kind, charismatic, and patient when interacting with us. This establishment is bilingual as well and I absolutely loved their decor. The coffee was fresh and the crepes are made on the spot with fresh fruits. I loved that we could see everything being made. It's also very affordable in comparison to big chains, definitely a good spot to come catch up on some chisme. Excelente servicio, café delicioso, y lindo lugar.","Jul 13, 2024"
Staff is nice but they gotta figure out the POS system. Gotta level up and figure out how to use the technology as a tool.,"Nov 4, 2024"
"Ambiance is always nice!
And friendly customer service is a 10+, just what is needed after a long day","Nov 4, 2023"
"As soon as I walked in, Luz greeted me with great enthusiasm. I like to visit coffee shops to try their cafe de olla and this one is hands down one of the best in town. It's creamy, not too sweat, and you can capture the cinnamon aroma in the blend. Definitely a great ambience to catch up with friends or for some alone time to catch up on work! Luz made it feel like home, coming again soon!","Jul 17, 2024"
"The service is great, the cashier is really nice and so is everyone else. The specialty drinks are really good too, I really liked the cereal coffee. The portions are good for the prices in my opinion. The place has seating inside and outside. The place is a bit small though just a heads up, but it's nothing bad. It doesn't take away from the ambiance inside which is also pretty.","Aug 25, 2024"
"Love the name that they decide to go with which makes it fun and funny. Overall, the quality of shop is very clean.

I was able to speak to the owner Veronica who is very nice and uplifting. The coffee is good and worth a try especially being a local business which I'm a big fan of. I got the Horchata frappe and it was a right amount of sweetness.","Mar 18, 2023"
Cafe de Ola with sweet cream on top was AMAZING!!! I will most definitely be going back!,"Oct 28, 2024"
"This place is such a great hidden gem , they accommodate with all the orders you want they can make them low sugar to high sugar which i appreciate it a lot, the tuna bagel was delicious and the place looks very clean too which helps when an establishment is serving food. I will be definitely coming back","Nov 9, 2024"
"Really wanted to like this place. I just moved up the street and it popped up on my TikTok so I was thinking ""What luck!"" A cute local coffee shop.
I was definitely disappointed. The space is very tiny, so not a lot of room to hang out there. It was also extremely warm.
The staff were friendly, but it took over 30 mins to get my drink. I figured they were just understaffed, but when I finally got my iced cafe de olla, it tasted extremely watered down. Like a cafe de olla lacroix. I almost tossed it if I hadn't waited a half an hour for it.","Sep 18, 2024"
Great customer service! The owner was so sweet and accommodating. The cafe de holla iced was good along with the crepe!,"Sep 21, 2024"
"Buen servicio muy amable la gente, la comida es una delicia, chisme potente buena energía","Mar 12, 2025"
"The coffee is just as delicious as ever, but having been away for a while, I'm a tad let down by their service hours. It's a shame they're not catering to the working morning crowd, their hours the first few months were a little weird. 9am Is simply to late","Aug 8, 2023"
"Okay. To start off the place is really cute and aesthetic, i ordered an everything bagel with cream cheese and it was a solid 9/10.

now, my suggestions begin with the abuelita blend i ordered, i'm not much of a sweet tooth but i expected to taste more of creamy chocolate that you normally taste when you drink chocolate abuelita, although it's a blend i tasted the ice more than anything else, 5/10.

I also ordered the red velvet cupcake, it was good but pretty average, i expected the icing to be creamy but it tasted like those cheap jelly like icing's that you can get at walmart for a dollar, 2/10 not worth the money.

Overall Coffee and chisme is cute and aesthetic but the quality in food can be a bit better.","Dec 15, 2024"
I used to love coming here but they don't advise when out of product they'll charge you then tell you after the fact when they're out of something. I had to get my money back they gave me my money from the tip jar and only gave me what the drink was worth. They didn't return the two extra dollars they charged me between the substitution of milk and tax. Really disappointed.,"Jan 13, 2025"
"Really wanted to give this place a try as their coffee looks flavorful; however, it was difficult to find parking and once I did, I walked over and no one said anything to me as I waited a some time standing over the cashier. I understand it may have been busy for them, but it would've been nice to hear something like ""we'll be right with you"". I ended up leaving, but would love to give this place another try, maybe at a less busy time. Place was a bit on the warm side so definitely seems better to go later towards the night.","Oct 7, 2024"
"The ladies here are always so nice. The place is very roomy and has a nice vibe to it as well. I came here a couple times with my mom, and she loved their cafe de olla! I did too. I highly recommend the banana nut loaf. My boyfriend took me here for our first date last year here as well. It's a good place to come to if you like to chat and sip!","Oct 30, 2024"
"They have so many food options that are all so good!! The ladies here are always so so sweet and attentive!!
It is a small place but the inside is so cute and the plants make it feel homey!! I will always recommend this place","Apr 22, 2024"
"This truly is a great place for coffee and chisme. My best friend and I spent well over an hour catching up, and we felt comfortable enough to do so. All of the staff was kind, especially Liz, whom I assume is the owner. She was very attentive and especially kind to my son. Gracias por su atención. Pronto regresamos!","Apr 19, 2024"
"Delish, nice people, perfect for the people to just want to have an aesthetic time to feel good","Oct 16, 2024"
"Me and my Tía went this morning to go have a little morning together. I got a lavender coffee and she got a matcha along with a croissant sandwich and I got a panini. I don't ever make reviews but this place was so good and did not disappoint. The service was really good and felt very welcoming and appreciative, I would definitely recommend this place. The ambiance is pretty and has a little couch where it feels super nice. Definitely a 10/10 !","Apr 12, 2024"
"Great place to meet up with friends and literally chismiar! They have a cool chisme jar, you can read through them and the tea was good, food and coffee is pretty.","Jan 31, 2025"
"My favorite place to get coffee!! The food options and the vibes are great too; the chisme jar is always entertaining and the staff makes you feel so welcome. I always get lots of work done here, but also love stopping by just to grab my coffee on a slow morning!","Oct 8, 2024"
"I found this location through instagram, my friend and I came here yesterday for some coffee and it was delicious. Very cute how they have it set up inside, wish there was more seating. The receptionist after placing our order offered us the chisme jar and 10/10. We definitely come back","Mar 2, 2025"
"Here on Memorial day and it was empty and slow when came in at 10:15am, its now 11:03 am and have not received all of my order. Drinks and food are not labeled, leaving me guessing on which is which.

Dont think ill come back, sorry to the girl working hard. While the ""manager"" was just sitting down not helping much.","May 27, 2024"
"I don't do reviews, but I really enjoyed this place. The service was great and I had an Americano with a coffee cake. Both were great! Inside is small but looks nice. I sat and ate my cake, even though I wasn't planning on staying.","Oct 1, 2024"
"I'm a coffee girl and love to check out oval coffee shops when in other cities. I came across this place and thought I'd give it a try because the name got me. I walked in and was told I couldn't be inside because I had my dog (mind you she's 3 pounds)
I get it, some establishments don't allow dogs but it's rare. Considering the place didn't appear to clean, I was offended. There was outside seating which is typical if they don't allow dogs but the area in which I was in, I didn't feel safe and seats looked uncomfortable (no back support)","Nov 20, 2023"
I liked coming here. The service was pretty nice. They are very friendly. Didn't try their food but i did try the coffee. It was a solid 7/10 i tried their lucky charms and Cocoa Puffs coffee. They are basically the same but different cereal. The ambiance felt very homey.,"Aug 16, 2024"
The service was great. Small but cozy ambiance to enjoy a hot or cold drink with good company.,"Jul 16, 2024"
"Loved the atmosphere of the place, they had so many different things on the menu you definitely have to go more than once to try everything out. The service was great it's bilingual and welcoming. I love the chiste of why it's called coffee and chisme","Feb 6, 2025"
my first time here and it was so good !! the service is very friendly and welcoming as well (: got the iced lavender london fog sooo good !!,"Feb 5, 2025"
"The food was absolutely delicious, i got the pesto chicken sandwhich and the caramel frappe. The food we ordered came quick and there is absolutely nothing wrong to say about it. Ordering was very easy and the whole setup of this cafe/restaurant was very nice! Loved it so much I will deff come again :)","Jul 26, 2024"
Amazing customer service Luz is amazing very friendly and super attentive. The ham and cheese is amazing I am so picky with my ham and cheese sandwiches but definitely pass the test thank you for you amazing food crepes very good as well. Drinks most definitely.,"Aug 27, 2024"
"Nice little spot they got some pastries and ice cream, I really like their caramel frappe","Aug 4, 2024"
"I came here because it had several good reviews and was excited to try a new coffee spot. Sadly, the service was not very good. We waited for over an hour to receive a two coffees, a panini, and a croissant. On top of that, they did not put out the orders in chronological order. They skipped over us and put out orders for at least three people who ordered much later than us. I will not be coming back here again, it felt like I had wasted a good portion of my morning.","Mar 16, 2024"
Amazing food and drinks ! The baristas are amazing and friendly! The place feels cozy and welcoming.,"Jul 31, 2024"
"Unlike some people, I don't show up to a business 10-15 minutes BEFORE they open and then complain about them not being open. ‍

Let me tell you how much I love this place -- the decor, the comfortable seating, THE SERVICE!! I love coming here for their iced chai lattes and delicious paninis. I have a feeling that in these colder months the Earl Grey London Fog is going to keep me warm~ The bagels and scones are delicious too!

Coffee & Chisme will definitely be a staple during my work days for sure.

If you haven't tried them out already, you definitely should!","Nov 8, 2022"
"Stop by this morning to get some breakfast since i like support my small businesses. Business was closed. Why post their hours if they aren't going to honor them . I will stop by my Starbucks since I know they're open.. I've been here a few times and there don't always have everything under menu available
***maybe consider updating the time on the door because if you zoom in It clearly l states 6 am . Maybe look at ur business hours on the door before you say it says 7 am.","Nov 3, 2022"
We got the cafe de olla with cold foam and the abuelita frappe and they were both super yummy. As someone who is a huge coffee lover I was impressed the iced coffee was not too sweet and had great flavor. I recommend the banana nut muffin it was delicious! The jar or chismes was entertaining to read while we waited for our order as well. I didn't catch the name of the lady who took our order but she was so friendly and welcoming!,"Nov 12, 2024"
"So many options!! The whole menu sounds amazing, i had tje cocopuffs drink with extra chocolate and its soooo perfect, the pricing is definitely reasonable for what you get, vegan pastries as well, i had the red velvet cupcakes and the frosting was perfectly fitying to the muffin, ill be coming back to try the rest of the menu","Dec 9, 2024"
I love this place specially since it's so close to where I live lol. It's a small little coge spot but they do have good drinks and pastries even some ice cream. The staff is awesome I Totally recommend!,"Aug 13, 2024"
"Excellent service, great food and awesome ambiance. I loved everything but in particular their employee Luz who is such a great host. She is charismatic, very attentive, and efficient. Food and drinks were quickly prepared. It was a very pleasant visit. Will definitely visit again and hope to see Luz. She is so loving and joyful.","Apr 20, 2024"
Really delicious coffee! It's located on a big street so you might have to park around the corner but my iced dirty chai with oat milk was amazing! It was pretty empty so I ordered right away and went on my way. The ladies who were working were super nice. There's a lot of food choices but I took one star off because my butter croissant wasn't flakey and nice like I like it. It was fine though.,"Jan 8, 2023"
"Great and fun coffee shop! Has a neighborhood feel but a lot of coffee options, pastries and more. I had the cafe de olla cold brew. It was tasty. Will be back for sure!","Oct 6, 2023"
Took almost half hour for 2 drinks wouldn't really recommend honesty was really disappointing the Cocoa Puffs drink taste like cereal with water,"Sep 15, 2024"
"Watered down drinks I ordered Oreo frapp, horchata frapp, and abuelita chocolate frapp they taste like water never again!!!!!","Sep 14, 2024"
"This place is super cute and all the people are so nice! I was so excited to hear about a new coffee shop opening in South Gate since I love mom and pop shops!

I came on their opening day and they seemed busy they were already out of some items so I'm glad it seemed to be going well.

I ordered an iced vanilla latte and an iced chai latte and accidentally got a hot chai but I am so glad because I really liked it! I also ordered a cheese danish and an everything bagel. They were both good.

This shop offers sandwiches and crepes too which I'm excited to try. Really cute shop! The only problem is street parking may be hard to find.","Oct 22, 2022"
"Skip the Starbucks and come to Coffee and Chisme! I personally love how sweet their cafecito is. I've always enjoyed their white chocolate mocha hot and I prefer it over Starbucks' because it tends to be more on the bitter side. The owners have always been very welcoming, and efficient. Out of the three times I've been here, I've never had an issue getting my food and drinks in a timely manner. The sausage and bacon muffin fills me up, comes out warm, and tastes like it was made from home. The bun is soft , as opposed to other breakfast sandwiches where the English muffin is hard, and the bacon and sausage taste on point. It's the perfect way to start your morning no matter what you're going to do today! I love the decor with the white neon sign entitled Coffee and Chisme. There's plenty of seats for you and your friend to chismeando or to get your study on! Come and support this Latinx small business .","Feb 24, 2024"
"Everything bagel was good. Cinnamon toast coffee was mid-- really sweet. Took over 30 minutes to get my order though. Would benefit from hiring more employees, there was only 1 girl behind the counter.","Mar 4, 2024"
"I love the cozy vibes, its a little hole in the wall near my house and the food is delicious, the crepes are yummy, the coffees are some of the best I've had and their paninis are my favorite. I like that you can customize your items, they really do cater to their customers. I rather go here than starbucks. Luz is literally the nicest person she makes you feel welcomed and has great customer service, all around great place 10/10 recommend!","Jul 3, 2024"
